FID,gid,NAAM,PLAATS,CATEGORIE,FUNCTIE,TYPE,STAAT,RMONNUMMER,TBGCNUMMER,INFOLINK,THUMBNAIL,HFDFUNCTIE,the_geom,FOTOGRAAF,FOTO_GROOT,BOUWJAAR
Molens.860,860,De Koutermolen,Hoedekenskerke,windmolen,korenmolen,ronde stenen grondzeiler,bestaand,9996,03493,https://zoeken.allemolens.nl/tenbruggencatenummer/03493,https://images.memorix.nl/rce/thumb/350x350/1dbd66b3-17fc-cf2e-d00c-8794e1ac158a.jpg,korenmolen,POINT (51936.0000000556 382970.00000135985),Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/1dbd66b3-17fc-cf2e-d00c-8794e1ac158a.jpg,1874
Molens.861,861,De Hoop,Giesbeek,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,8151,03494,https://zoeken.allemolens.nl/tenbruggencatenummer/03494,https://images.memorix.nl/rce/thumb/350x350/e446ff7c-dc2c-fcd6-30e2-789658bf06cf.jpg,korenmolen,POINT (201738.00000026595 445490.9999981125),W.A. Korpershoek (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/e446ff7c-dc2c-fcd6-30e2-789658bf06cf.jpg,1888
Molens.1404,1404,De Kraekermolen,Thorn,watermolen,korenmolen,watergedreven molen,restant,35444,02797 b,https://zoeken.allemolens.nl/tenbruggencatenummer/02797 b,https://upload.wikimedia.org/wikipedia/commons/5/50/Beekstraat_13_Thorn.JPG,korenmolen,POINT (186542.54115876477 352371.1474036089),Rosemoonvia Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/5/50/Beekstraat_13_Thorn.JPG,1880
Molens.862,862,De Korenmolen of De Korenbloem,Eerbeek,watermolen,oliemolen,watergedreven molen met bovenslagrad,bestaand,11249,03500,https://zoeken.allemolens.nl/tenbruggencatenummer/03500,https://images.memorix.nl/rce/thumb/350x350/98077d72-adc1-083d-4099-7857cd3bcf8a.jpg,industriemolen,POINT (201949.9999998488 457899.99999779864),J.P. de Koning (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/98077d72-adc1-083d-4099-7857cd3bcf8a.jpg,1860
Molens.863,863,De Roos,Delft,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,12159,03503,https://zoeken.allemolens.nl/tenbruggencatenummer/03503,https://images.memorix.nl/rce/thumb/350x350/c0d34bd3-d1b2-83af-b127-43bba3e49f43.jpg,korenmolen,POINT (83886.99999993927 447789.99999635486),Ton Penders (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/c0d34bd3-d1b2-83af-b127-43bba3e49f43.jpg,1679
Molens.864,864,'t Roode Hert,Oudorp (Alkmaar),windmolen,korenmolen,8-kante stellingmolen,bestaand,7467,03506,https://zoeken.allemolens.nl/tenbruggencatenummer/03506,https://images.memorix.nl/rce/thumb/350x350/f6ebc7b9-5fdb-0177-b76a-84457e66c096.jpg,korenmolen,POINT (112392.00000017553 516763.99999927223),onbekend (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/f6ebc7b9-5fdb-0177-b76a-84457e66c096.jpg,onbekend
Molens.865,865,Sint Petrus (Molen van Nijken),Roggel,windmolen,korenmolen,ronde stenen beltmolen,bestaand,32694,03508,https://zoeken.allemolens.nl/tenbruggencatenummer/03508,https://images.memorix.nl/rce/thumb/350x350/6f2b751c-4acc-5506-54ac-32fd23119595.jpg,korenmolen,POINT (191614.99999994098 365723.0000004695),Frans Kabel (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/6f2b751c-4acc-5506-54ac-32fd23119595.jpg,1901
Molens.866,866,Sint Antonius,Heythuysen,windmolen,korenmolen,ronde stenen beltmolen,bestaand,22123,03512,https://zoeken.allemolens.nl/tenbruggencatenummer/03512,https://images.memorix.nl/rce/thumb/350x350/deae82fd-11b8-0f6b-495f-d53bb9fd8261.jpg,korenmolen,POINT (190881.00000008667 362988.0000008584),W.A. Korpershoek (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/deae82fd-11b8-0f6b-495f-d53bb9fd8261.jpg,1861
Molens.867,867,Friedesse Molen,Neer,watermolen,korenmolen,watergedreven molen met onderslagrad,bestaand,30328,03515,https://zoeken.allemolens.nl/tenbruggencatenummer/03515,https://images.memorix.nl/rce/thumb/350x350/3bb1fc2a-8913-88b3-c5f5-844d9d694853.jpg,korenmolen,POINT (197199.99999996493 363450.00000155345),W.A. Korpershoek (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/3bb1fc2a-8913-88b3-c5f5-844d9d694853.jpg,1717
Molens.868,868,Bouwhofmolen,Apeldoorn-Ugchelen,watermolen,papiermolen- wasserij,watergedreven molen met bovenslagrad,bestaand,geen  rijksmonument,03520,https://zoeken.allemolens.nl/tenbruggencatenummer/03520,https://images.memorix.nl/rce/thumb/350x350/2ca29748-3f75-39c6-a745-aeeb0e2492df.jpg,industriemolen,POINT (193300.00000008364 467000.0000017482),Edwin Raap (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/2ca29748-3f75-39c6-a745-aeeb0e2492df.jpg,onbekend
