OID_,gid,NAAM,PLAATS,CATEGORIE,FUNCTIE,TYPE,STAAT,RMONNUMMER,TBGCNUMMER,INFOLINK,THUMBNAIL,HFDFUNCTIE,FOTOGRAAF,FOTO_GROOT,BOUWJAAR,x,y
509,510,De Meermin,Terhofstede / Retranchement,windmolen,korenmolen,ronde stenen stellingmolen,restant,527665,01674,https://zoeken.allemolens.nl/tenbruggencatenummer/01674,https://images.memorix.nl/rce/thumb/350x350/a6a074b3-4c3a-bc8c-8dfc-8da326ad4f86.jpg,korenmolen,Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/a6a074b3-4c3a-bc8c-8dfc-8da326ad4f86.jpg,1896,15940,374030
510,511,De Brak,Sluis,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,33892,01675,https://zoeken.allemolens.nl/tenbruggencatenummer/01675,https://images.memorix.nl/rce/thumb/350x350/ad98dbad-ad77-86aa-471f-7bb419fc1dbc.jpg,korenmolen,Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/ad98dbad-ad77-86aa-471f-7bb419fc1dbc.jpg,1739,15656,370433
511,512,De Lelie,Rotterdam (Kralingen),windmolen,snuifmolen,8-kante stellingmolen,bestaand,32922,01760,https://zoeken.allemolens.nl/tenbruggencatenummer/01760,https://images.memorix.nl/rce/thumb/350x350/466e4fa7-ef3f-29f1-4545-64fdb7ba28b2.jpg,industriemolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/466e4fa7-ef3f-29f1-4545-64fdb7ba28b2.jpg,onbekend,95474,438569
512,513,De Prinsenmolen,Rotterdam ( Hillegersberg ),windmolen,poldermolen,8-kante grondzeiler,bestaand,32903,01764,https://zoeken.allemolens.nl/tenbruggencatenummer/01764,https://images.memorix.nl/rce/thumb/350x350/06df35a2-b64f-0356-1c0d-e4607bd0855d.jpg,poldermolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/06df35a2-b64f-0356-1c0d-e4607bd0855d.jpg,1648,94054,440679
513,514,De Valk,Berkel en Rodenrijs,windmolen,poldermolen,8-kante grondzeiler,bestaand,9349,01768,https://zoeken.allemolens.nl/tenbruggencatenummer/01768,https://images.memorix.nl/rce/thumb/350x350/49b95bc4-1841-0eda-3fcd-dbc9cb73e1d7.jpg,poldermolen,G.J. Dukker (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/49b95bc4-1841-0eda-3fcd-dbc9cb73e1d7.jpg,1772,89154,443917
514,515,De Korenbloem,Zoelen,windmolen,korenmolen,ronde stenen grondzeiler,bestaand,11435,01770,https://zoeken.allemolens.nl/tenbruggencatenummer/01770,https://images.memorix.nl/rce/thumb/350x350/4a000530-9975-a79f-795d-10651043e29c.jpg,korenmolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/4a000530-9975-a79f-795d-10651043e29c.jpg,onbekend,156013,435026
515,516,De Prins van Oranje,Buren,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,11333,01771,https://zoeken.allemolens.nl/tenbruggencatenummer/01771,https://images.memorix.nl/rce/thumb/350x350/cf180cac-2460-8fba-5c32-659c6156a359.jpg,korenmolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/cf180cac-2460-8fba-5c32-659c6156a359.jpg,1716,151425,436093
516,517,De Hommel,Haarlem Zuid-Schalkwijk,windmolen,poldermolen,8-kante grondzeiler,bestaand,19874,01775,https://zoeken.allemolens.nl/tenbruggencatenummer/01775,https://images.memorix.nl/rce/thumb/350x350/4d4b296d-ec8f-fee2-539f-98e4a787f787.jpg,poldermolen,Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/4d4b296d-ec8f-fee2-539f-98e4a787f787.jpg,onbekend,104916,484031
517,518,De Vijfhuizer Molen,Haarlem,windmolen,poldermolen,8-kante grondzeiler,bestaand,19873,01776,https://zoeken.allemolens.nl/tenbruggencatenummer/01776,https://images.memorix.nl/rce/thumb/350x350/ed012907-3aab-1fb3-9a92-af6db724f20d.jpg,poldermolen,Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/ed012907-3aab-1fb3-9a92-af6db724f20d.jpg,1874,106567,485614
518,519,Hoogewegse Molen,Noordwijk,windmolen,poldermolen,wipmolen,bestaand,30766,01779,https://zoeken.allemolens.nl/tenbruggencatenummer/01779,https://images.memorix.nl/rce/thumb/350x350/bf06575b-039a-53ff-c8c2-631d44dbf6b1.jpg,poldermolen,Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/bf06575b-039a-53ff-c8c2-631d44dbf6b1.jpg,onbekend,92072,471184
